"","X","X_id","标题","标题链接","居室数","厅堂数","卫生间数","总面积","朝向","楼层位置","建造年份","小区","区","街道","地址","关键词","价格","单价","关键字1","关键字2","关键字3","关键字4","装修","字段12","详情1","详情2","详情3","详情4","详情5","产权性质","物业类型","产权年限","房本年限","参考预算","小区均价","小区户数","物业费用","绿化率","小区解读1","小区解读2","小区解读3","小区解读4","小区解读5","小区解读6","代理情况","代理情况2","安选"
"126","125","666d2174dacf8deaac1412e7","招商蛇口，  系列 自带游泳馆 会所 高品质 好地段","https://shanghai.anjuke.com/prop/view/S3584404183817221",3,2,2,"103㎡","南","","","招商臻境","浦东","三林","上南路5700弄","客餐厅相连;南北通透;厨卫全明;购物中心",525,"50971元/㎡","客餐厅相连","南北通透","厨卫全明","购物中心","精装修","暂无建造年代/普通住宅
            ","客餐厅相连","南北通透","厨卫全明","私密性好","主卧套房","暂无","普通住宅","70年产权","","首付105万，月供18860元","68091元/㎡","暂无","暂无","暂无","","","","","","","查看全部经纪人","全部经纪人","认证新房"
"127","126","666d2174dacf8deaac1412e8","新价格！三林新村飞机三房~性比价  高~周边配套齐全~有钥匙","https://shanghai.anjuke.com/prop/view/S3058659346522116",3,2,1,"89.02㎡","南北","低层(共14层)","1990年建造","三林新村(永泰路133弄)","浦东","三林","永泰路133弄","南北;有电梯;近地铁",495,"55606元/㎡","南北","有电梯","近地铁","","简单装修","1990年竣工/普通住宅
            ","有电梯","近地铁","","","","商品房住宅","普通住宅","70年产权","","首付99万，月供17782元","59555元/㎡","2250户","0.9 元/平米/月","40.00%","轨道交通   小区北门出来往北走步行500米公交站东北步行就是地铁11号线","小区户型   小区是1梯两户 2梯4户 ，1房51-55平，2房71-84平 ，3房89-97平都是高层住宅","小区设施   健身器材儿童娱乐场所小区中央有个花园绿化45%","生活配套   小区出门向东800米为金谊广场，吃喝文娱一体的大型娱乐商业配套，1.5公里为东方医院南院","房屋品质   小区是2012年完工的小区，小区是中环目前有产证里边新的电梯小区，动迁房但是品质很好户型全明","小区不足   车位紧张，租户比较多","11家门店、23位经纪人正代理本房","全部经纪人","实地核验"
"128","127","666d2175dacf8deaac1412e9","鹤沙航城昱星家园(东区) 高楼层视野好 电梯房 朝南 临地铁","https://shanghai.anjuke.com/prop/view/S3583171058966533",2,2,1,"67.41㎡","南","高层(共18层)","2011年建造","鹤沙航城昱星家园(东区)","浦东","航头","鹤沙路588弄","南;有电梯;近地铁;户型方正",235,"34862元/㎡","南","有电梯","近地铁","户型方正","毛坯","2011年竣工/普通住宅
            ","有电梯","近地铁","户型方正","采光较好","","商品房住宅","普通住宅","70年产权","","首付47万，月供8442元","32177元/㎡","1184户","0.9 元/平米/月","30.00%","轨道交通   小区小门口多条公交，624.992.451.975.1066离18号地铁口2公里","小区户型   小区总共18个楼栋号，大部分总高18楼，小区最南边一排总高14楼，小区以两梯四户居多，","小区设施   小区有凉厅，小区中心花园有长廊，小孩游乐园，健身器材，","生活配套   小区门口小型超市很多，大中型超市菜市场200米，饭店小吃有很多","房屋品质   小区2013年竣工，小区动迁小区，品质还可以，绿化多","小区不足   小区车位有点紧张，没有地下车库","3家门店、5位经纪人正代理本房","全部经纪人","实地核验"
"129","128","666d2175dacf8deaac1412ea","急卖 复式大两房 诚心卖 交通便捷 南北通透 高楼层采光充足","https://shanghai.anjuke.com/prop/view/S3510870286818305",4,3,2,"91.49㎡","南北","高层(共6层)","2004年建造","新高桥春晖苑","浦东","外高桥","春晖路368弄1-59号","南北;满五年;近地铁",430,"47000元/㎡","南北","满五年","近地铁","","精装修","2004年竣工/普通住宅
            ","满五年","近地铁","","","","商品房住宅","普通住宅","暂无","满五年","首付86万，月供15447元","47846元/㎡","700户","0.55 元/平米/月","35.00%","轨道交通   出门600米有611路、971路、453路等多条公交，其中611通川沙，453通五角场，经过金桥高行","小区户型   小区户型大多为大户型，120平~130平三房两厅居多，房子正气采光好","小区设施   小区内部大概有100平方米的健身凉亭等设施","生活配套   小区出门左转50米有生鲜市场.周边基本生活配套基本完善.","小区不足   车位相较比较紧张，前春晖路，后春阳路，前一排与后一排可能相对有噪音","","2家门店、4位经纪人正代理本房","全部经纪人","实地核验"
"130","129","666d2175dacf8deaac1412eb","建平 中楼层 不靠路 看房随时  有钥匙 价格很美丽","https://shanghai.anjuke.com/prop/view/S3580456341740553",2,2,1,"62.85㎡","南","低层(共6层)","1996年建造","民乐苑","浦东","御桥","御青路228弄,御青路328弄,御山路347弄","南;满五年;近地铁",410,"65235元/㎡","南","满五年","近地铁","","简单装修","1996年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","","商品房住宅","普通住宅","70年产权","满五年","首付82万，月供14729元","71419元/㎡","2734户","0.9 元/平米/月","40.00%","轨道交通   小区门口100米处有11号18号御桥地铁站，50米处有公交站","小区户型   小区由总高6楼多层房子居多有两套2梯8户总高14楼的电梯房，4栋总高13楼的大户型组成","其他描述   0.8元/平米/月 上海泰昕物业管理有限公司","生活配套   小区北门向右300米就到2049海上传奇广场，银行，超市，菜市场一应齐全","房屋品质   小区为90年代的动迁房，外墙经历过2次大型的物业粉刷，外立面看起来很新，没有任何墙皮脱落现象","小区不足   停车位目前缺少比较杂乱","2家门店、3位经纪人正代理本房","全部经纪人","实地核验"
"131","130","666d2175dacf8deaac1412ec","低密度洋房中间楼层，满五税费少看房有钥匙诚心出售价格可谈","https://shanghai.anjuke.com/prop/view/S3238969622371342",3,2,2,"89.73㎡","南北","中层(共8层)","2019年建造","保利铃兰公馆(公寓住宅)","浦东","临港新城","铃兰路508弄","南北;满五年;近地铁;车位充足",290,"32320元/㎡","南北","满五年","近地铁","车位充足","精装修","2019年竣工/普通住宅
            ","满五年","有电梯","近地铁","车位充足","","商品房住宅","普通住宅","70年产权","满五年","首付58万，月供10418元","42853元/㎡","871户","3.8 元/平米/月","35.00%","轨道交通   距申港大道地铁站1.2公里  可在此乘坐16号线 经12站到龙阳路","小区户型   小区主打89平小高层，另外有几栋110平高层，总高都是8楼，适合改善需求","小区设施   小区人车分流车位充足车位比例在1：1","生活配套   三公里可到第六人民医院，二公里可到新天地广场，一公里即可到海昌乐园","房屋品质   2018年交房，商品房，保利地产，小区内防潮和防水以及隔音做的很好，都采用了很多工艺","小区不足   周边配套不成熟绿化比较少物业管理好费用偏高目前配套不是很齐，进出入不太方便","8家门店、12位经纪人正代理本房","全部经纪人","实地核验"
"132","131","666d2175dacf8deaac1412ed","前滩次新别墅！200豪华装修！附赠150花园！私家独立电梯！","https://shanghai.anjuke.com/prop/view/S3066317857299465",4,3,4,"194.47㎡","南北","共5层","2019年建造","嘉宝前滩后院","浦东","三林","云台路1101弄","南北;热门小区;新上小区;配套成熟",2580,"132669元/㎡","南北","热门小区","新上小区","配套成熟","精装修","2019年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","车位充足","商品房住宅","普通住宅","70年产权","满五年","首付516万，月供92683元","133296元/㎡","1户","8.0 元/平米/月","35.00%","轨道交通   距本小区600米是6号线华夏西路站，出门就是公交总站","小区户型   小区是叠加别墅和双拼别墅一起的小区主力户型是187-195平的3房 大户型","生活配套   小区靠近大型商场北面800米就是亿丰时代广场，生活配套齐全","小区不足   物业管理严格物业收取高","","","5家门店、9位经纪人正代理本房","全部经纪人","实地核验"
"133","132","666d2176dacf8deaac1412ee","虹梅别墅 临地铁 购物方便 南北通透 独栋别墅 精装好房","https://shanghai.anjuke.com/prop/view/S3341540732099598",5,2,4,"261.16㎡","南北","共3层","2000年建造","虹梅别墅","闵行","虹桥","虹梅路2989弄1-79号","南北;满五年;近地铁;车位充足",5000,"191454元/㎡","南北","满五年","近地铁","车位充足","精装修","2000年竣工/别墅
            ","满五年","近地铁","车位充足","","","商品房住宅","别墅","暂无","满五年","首付1000万，月供179618元","188277元/㎡","68户","5.5 元/平米/月","43.00%","轨道交通   600米到延安西路71路无轨电车，1000米到10号线龙溪路站","小区户型   小区总共有68栋别墅，户型分别为233平，261平，288平，321平，360平等，花园300平左右","小区设施   小区带有室外泳池，健身房，会所车位配比达到1:2.绿化好","生活配套   500米有超市，400米有高尔夫球场，600米有星巴克，配套非常齐全","房屋品质   上海中祥集团有限公司开发建设，于1994年交房主体采用钢筋混凝土的框架结构，外立面有优良的防水防潮","小区不足   小区建造年代比较久，路窄，绿化也比较少","2家门店、3位经纪人正代理本房","全部经纪人","实地核验"
"134","133","666d2177dacf8deaac1412ef","上海新政落地 外地单身看过来 闵行虹桥 告别租房 安家上海","https://shanghai.anjuke.com/prop/view/S3158360883191818",1,1,1,"17㎡","南北","低层(共18层)","2016年建造","虹中路2弄小区","闵行","虹桥","虹中路2弄","南北;满五年;近地铁;车位充足",50,"29412元/㎡","南北","满五年","近地铁","车位充足","精装修","2016年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","车位充足","商品房住宅","普通住宅","70年产权","满五年","首付10万，月供1796元","28445元/㎡","50户","0.4 元/平米/月","30.00%","轨道交通   小区西面1.5公里是10号线龙柏新村站，小区南面1公里是九号线漕河泾开发区站，小区对面是公交车站台","小区户型   热门户型为40-80方的两居室户型，楼距90米。","居民素质   业主自住较多，租客相对较少，整体素质较高，邻里关系和谐","小区不足   小区不足，小区车位相对较少，业主私家车很多，车位万高峰管理混乱，有待改善","","","","全部经纪人","实地核验"
"135","134","666d2178dacf8deaac1412f0","砸盘价！三天必卖，次顶层飞机南北通，房东已买急售，随时看房","https://shanghai.anjuke.com/prop/view/S3197997605166089",3,2,2,"133.56㎡","南北","高层(共11层)","2003年建造","恒大翰城瀚林苑(公寓住宅)","浦东","三林","上南路3899弄","热门小区;近地铁;南北通透",850,"63642元/㎡","热门小区","近地铁","南北通透","","精装修","2003年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","","商品房住宅","普通住宅","70年产权","满五年","首付170万，月供30535元","70626元/㎡","761户","0.6 元/平米/月","42.00%","轨道交通   出门20米就是6号线上南路站 20米公交车站","小区户型   小区主要是多层，高层，联排别墅组成主力面积90平的南北版式，两房125平板式，","其他描述   上中环南北高架非常方便小区门口就是6号线上南路站100米","小区设施   小区内设施完善，有儿童游乐设施，有玩耍的地方，还有健身器材，下班后可以来这里运动一下，有益健康","生活配套   500米内有东方医院南院 1000米内有金谊广场，大润发等，旁边是灵杨集市","小区不足   小区物业不规范，可以随意进入  车位紧张","3家门店、8位经纪人正代理本房","全部经纪人","实地核验"
"136","135","666d2178dacf8deaac1412f1","1梅园三街坊 板楼 装修好 满五   南北通透 商圈成熟","https://shanghai.anjuke.com/prop/view/S3049485504865284",2,0,1,"51.31㎡","南北","高层(共6层)","1988年建造","梅园三街坊","浦东","八佰伴","商城路1025弄,商城路991弄,乳山路130弄,乳山路138弄,乳山路160弄","南北;满五年;近地铁",488,"95109元/㎡","南北","满五年","近地铁","","精装修","1988年竣工/普通住宅
            ","满五年","唯一住房","近地铁","","","商品房住宅","普通住宅","70年产权","满五年","首付97万，月供17531元","113941元/㎡","2807户","0.85 元/平米/月","28.00%","轨道交通   距离世纪大道地铁站800米内，2-4-6-9号线多条轨道交通","小区户型   小区只要以一梯四户户型为主一房主力面积：27-36平两房主力面积：46-55平","其他描述   物业：小区物业是潍坊物业，虽然物业费才8毛钱一平，但是却很负责，随叫随到，有问题都是很快就帮你解决！","小区设施   小区里有一个健身设施 凉亭很多老人小朋友傍晚都会来此锻炼身体 小区住户关系融洽素质高","生活配套   小区南门出去300米世纪大都会，百联世纪，九六广场","小区不足   小区内唯一的不足就是车位紧张小区无地下车位地面车位基本上是先到先得车位有些紧张小区内停车位紧张","3家门店、5位经纪人正代理本房","全部经纪人","实地核验"
"137","136","666d2178dacf8deaac1412f2","虹桥地铁口~租金6000起~来电30W就卖，送家具家电通燃气","https://shanghai.anjuke.com/prop/view/S3189511388814338",1,1,1,"17.5㎡","南","低层(共11层)","2015年建造","虹中路2弄小区","闵行","虹桥","虹中路2弄","南;满五年;近地铁;车位充足",50,"28572元/㎡","南","满五年","近地铁","车位充足","精装修","2015年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","车位充足","商品房住宅","普通住宅","70年产权","满五年","首付10万，月供1796元","28445元/㎡","50户","0.4 元/平米/月","30.00%","轨道交通   小区西面1.5公里是10号线龙柏新村站，小区南面1公里是九号线漕河泾开发区站，小区对面是公交车站台","小区户型   热门户型为40-80方的两居室户型，楼距90米。","居民素质   业主自住较多，租客相对较少，整体素质较高，邻里关系和谐","小区不足   小区不足，小区车位相对较少，业主私家车很多，车位万高峰管理混乱，有待改善","","","","全部经纪人","实地核验"
"138","137","666d2179dacf8deaac1412f3","电梯南北直通户型，靠河位置，低楼层上下楼梯方便，采光无遮挡","https://shanghai.anjuke.com/prop/view/S3248086136741903",2,1,1,"72.38㎡","南北","低层(共6层)","2012年建造","鹤沙航城航武嘉园(东区)","浦东","航头","鹤韵路549弄","南北;满五年;近地铁;车位充足",218,"30119元/㎡","南北","满五年","近地铁","车位充足","精装修","2012年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","车位充足","商品房住宅","普通住宅","70年产权","满五年","首付43万，月供7831元","32001元/㎡","867户","1.08 元/平米/月","35.02%","轨道交通   小区出门600米是624公交总站，去周浦，南码头非常方便，近16号线鹤沙站，门口1109路公交直达","小区户型   小区由26栋楼组成：一房57平和俩房73平米跟80平楼栋居间宽采光好","其他描述   所属商圈航头开发商：沪房地产有限公司物业费：1元/平/月","生活配套   小区门口有联华超市、航阳菜市场、充分满足日常购物，生活便利","小区不足   自住率不高 租客居多 物业也有待提高  车位紧张","","2家门店、2位经纪人正代理本房","全部经纪人","实地核验"
"139","138","666d2179dacf8deaac1412f4","依水园||南北电梯房||芦恒路标杆小区|钥匙房南北通户型|","https://shanghai.anjuke.com/prop/view/S3444375765392392",2,1,1,"69.53㎡","南北","高层(共34层)","2012年建造","依水园(一期)","浦东","三林","林展路411弄","热门小区;南北通透;优势户型",325,"46743元/㎡","热门小区","南北通透","优势户型","","精装修","2012年竣工/普通住宅
            ","近地铁","","","","","商品房住宅","普通住宅","暂无","","首付65万，月供11675元","49375元/㎡","2686户","1.26 元/平米/月","35.10%","轨道交通   小区北门口有公交车1034、1122到8号线芦恒站，583路途径29站到陆家嘴，浦东37路5站到地铁","小区户型   小区户型有51平一房，69平的两房和83的三房，目前69平两房是主力户型","小区设施   小区绿化植被高达78种之多 地上停车位比是1:1.5 儿童玩具设施齐全","生活配套   小区向北500米有一个大型商城东方毅德城，小区楼下有一拍沿街商铺、菜市场和超市都有","房屋品质   小区是2013年竣工的高层电梯房，小区环境安静，绿化好，车流量少 主要是已经济适用房和动迁房为主的","小区不足   小区是动迁房，里面租客较多","6家门店、10位经纪人正代理本房","全部经纪人","实地核验"
"140","139","666d2179dacf8deaac1412f5","古北壹号旁，豪嘉  花园别墅，占地千平，私家泳池 大露台","https://shanghai.anjuke.com/prop/view/S3536248088813583",5,3,4,"409㎡","南北","共3层","2000年建造","豪嘉府邸","闵行","虹桥","虹梅路2999号","南北;满五年;近地铁;绿化率高",6000,"146700元/㎡","南北","满五年","近地铁","绿化率高","精装修","2000年竣工/别墅
            ","满五年","唯一住房","近地铁","绿化率高","","商品房住宅","别墅","70年产权","满五年","首付1200万，月供215541元","144902元/㎡","17户","5.0 元/平米/月","64.00%","轨道交通   小区500米出门虹许路上中环入口，地铁1300米10号线龙溪路站","小区户型   409-471.29㎡独栋别墅，带独立车位和花园，基本为南北朝向，户型方正，视野、采光、通风俱佳","小区设施   小区带会所，有健身房，篮球场，网球场，游泳池，儿童游乐场可供业主使用","生活配套   距虹桥高尔夫球场600米，希尔顿酒店900米，虹梅路休闲街700米，古北国际社区1600米","房屋品质   小区由豪嘉国际（上海）房地产有限公司开发，16栋各自独立风格，外墙采用石材，保温防潮隔热好","小区不足   小区栋数较少，物业费偏高","3家门店、5位经纪人正代理本房","全部经纪人","实地核验"
"141","140","666d217adacf8deaac1412f6","老业主委托 满五 税费少 已装电梯 采光好 看房方便 有钥匙","https://shanghai.anjuke.com/prop/view/S3371035937759237",1,1,1,"31.29㎡","南","高层(共6层)","1986年建造","梅园三街坊","浦东","八佰伴","商城路1025弄,商城路991弄,乳山路130弄,乳山路138弄,乳山路160弄","南;房东急售;交易周期可谈;随时可看",365,"116651元/㎡","南","房东急售","交易周期可谈","随时可看","精装修","1986年竣工/普通住宅
            ","满五年","有电梯","近地铁","","","商品房住宅","普通住宅","70年产权","满五年","首付73万，月供13112元","113941元/㎡","2807户","0.85 元/平米/月","28.00%","轨道交通   距离世纪大道地铁站800米内，2-4-6-9号线多条轨道交通","小区户型   小区只要以一梯四户户型为主一房主力面积：27-36平两房主力面积：46-55平","其他描述   物业：小区物业是潍坊物业，虽然物业费才8毛钱一平，但是却很负责，随叫随到，有问题都是很快就帮你解决！","小区设施   小区里有一个健身设施 凉亭很多老人小朋友傍晚都会来此锻炼身体 小区住户关系融洽素质高","生活配套   小区南门出去300米世纪大都会，百联世纪，九六广场","小区不足   小区内唯一的不足就是车位紧张小区无地下车位地面车位基本上是先到先得车位有些紧张小区内停车位紧张","","全部经纪人","实地核验"
"142","141","666d217adacf8deaac1412f7","电梯横厅复式！附赠产权车位！带80空中花园！新杨思核心规划","https://shanghai.anjuke.com/prop/view/S3245116894748685",3,2,2,"156.17㎡","南北","高层(共12层)","2015年建造","瀚锦苑","浦东","三林","洪山路1889弄","南北;满五年;近地铁;多人关注",1068,"68388元/㎡","南北","满五年","近地铁","多人关注","精装修","2015年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","","商品房住宅","普通住宅","70年产权","满五年","首付213万，月供38366元","78009元/㎡","1010户","1.7 元/平米/月","42.00%","轨道交通   东门出门向右200米6号线华夏西路站，西门300米6号线上南站，小区门口有多路公交车，","小区户型   小区均为一梯两户大户型，115平三房两卫和140平四房两卫，适合改善需求","其他描述   小区环境优美，是纯商品房，居民素质高","小区设施   小区中央有景观喷泉，池里有锦鲤，东西边有生活运动广场，老年人活动广场","生活配套   南面300米是东方医院，西门出去有转500米有联丰菜市场，600米花鸟市场，大型超市，餐馆","小区不足   小区周边配套不够成熟，有待发展，目前吃饭不太方便","4家门店、12位经纪人正代理本房","全部经纪人","实地核验"
"143","142","666d217bdacf8deaac1412f8","陆家嘴核心地段丨整栋纯居住公寓丨民用水电通燃气丨景观视野无遮","https://shanghai.anjuke.com/prop/view/S3547782331147277",2,2,2,"116㎡","南北","中层(共22层)","2015年建造","凯旋汇","浦东","八佰伴","张杨路98号","南北;近地铁;车位充足;多人关注",98,"8449元/㎡","南北","近地铁","车位充足","多人关注","精装修","2015年竣工/公寓
            ","近地铁","车位充足","","","","商住两用","公寓","暂无","","首付49万，月供4845元","91494元/㎡","234户","暂无","35.00%","轨道交通   小区出门步行800米有地铁9号线和2号线","小区户型   小区67㎡一房，和107-127㎡两房，高层总高26楼，单栋，前后楼间距大","其他描述   小区物业是启胜物业，物业费28元，包含3张会所会员卡，有大堂礼宾和管家，服务周到","小区设施   小区内有6000平方会所，设施完善，有儿童娱乐设施，健身器材，图书馆等","生活配套   小区出门步行0.5km到达老佛爷购物商场、盒马鲜生，2公里到达仁济医院东院","小区不足   小区车位紧张，有时无法满足多台车的需求","2家门店、4位经纪人正代理本房","全部经纪人","实地核验"
"144","143","666d217cdacf8deaac1412f9","（外省人口已放开）来电可谈20W！ 赠送车位！","https://shanghai.anjuke.com/prop/view/S3168832934257673",1,1,1,"21㎡","南北","低层(共18层)","2015年建造","虹中路2弄小区","闵行","虹桥","虹中路2弄","南北;近地铁;车位充足;多人关注",56,"26667元/㎡","南北","近地铁","车位充足","多人关注","精装修","2015年竣工/普通住宅
            ","近地铁","车位充足","","","","商品房住宅","普通住宅","暂无","","首付11万，月供2012元","28445元/㎡","50户","0.4 元/平米/月","30.00%","轨道交通   小区西面1.5公里是10号线龙柏新村站，小区南面1公里是九号线漕河泾开发区站，小区对面是公交车站台","小区户型   热门户型为40-80方的两居室户型，楼距90米。","居民素质   业主自住较多，租客相对较少，整体素质较高，邻里关系和谐","小区不足   小区不足，小区车位相对较少，业主私家车很多，车位万高峰管理混乱，有待改善","","","","全部经纪人","实地核验"
"145","144","666d217cdacf8deaac1412fa","园林式花园小区 前滩腹地 南北直通 赠送超大花园 看房随时","https://shanghai.anjuke.com/prop/view/S3423317436752906",2,2,1,"83.39㎡","南北","低层(共6层)","2004年建造","纯翠苑","浦东","三林","杨南路797弄","南北;满五年;近地铁;车位充足",598,"71712元/㎡","南北","满五年","近地铁","车位充足","精装修","2004年竣工/普通住宅
            ","满五年","唯一住房","近地铁","车位充足","","商品房住宅","普通住宅","70年产权","满五年","首付119万，月供21482元","75782元/㎡","572户","0.8 元/平米/月","40.00%","小区户型   小区由6楼多层组成，房型都是南北通的户型都是一梯两户，主要是大户型","小区设施   小区绿化很好小区门口有个大花园","生活配套   小区外面是沿街底层商铺，购物很是方便，1公里有大润发超市，距离东方医院2公里","小区不足   小区周边配套不够成熟，有待发展，目前吃饭不太方便","","","9家门店、21位经纪人正代理本房","全部经纪人","实地核验"
"146","145","666d217edacf8deaac1412fb","外高桥 楼龄新 中间楼层 商品房 大两居 近地铁 精装好房","https://shanghai.anjuke.com/prop/view/S3246679908442121",2,2,1,"85.3㎡","南北","中层(共15层)","2017年建造","浦凌佳苑","浦东","外高桥","康悦路325弄","南北;满五年;近地铁;户型方正",303,"35522元/㎡","南北","满五年","近地铁","户型方正","精装修","2017年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","户型方正","商品房住宅","普通住宅","70年产权","满五年","首付60万，月供10885元","35189元/㎡","2400户","1.8 元/平米/月","35.00%","轨道交通   距离双江路地铁站1000米  门口公交车883一站地可换乘3号线","小区户型   小区均为俩梯四户 南北通透 大户型123平 三房俩厅俩卫 俩室89平 一房58平，毛坯交付随意装修","小区设施   小区中心有绿地 绿地周边有儿童娱乐设施 老年人健身器材","生活配套   像东300米左右是菜市场 走1公里是双江路地铁站","房屋品质   小区2017年交付 毛坯交付  业主可随意装修 窗户双层夹胶玻璃 能有效隔绝噪音","小区不足   小区目前不足的一点 周边缺少大型配套商超 ","3家门店、3位经纪人正代理本房","全部经纪人","实地核验"
"147","146","666d217fdacf8deaac1412fc","次新房丨保利锦上丨 精装修丨 拎包入住丨 预约看房","https://shanghai.anjuke.com/prop/view/S3309469018104846",2,2,1,"90㎡","南","低层(共10层)","2022年建造","保利锦上","闵行","浦江","北江洲路280弄","南;有电梯;近地铁;车位充足",650,"72223元/㎡","南","有电梯","近地铁","车位充足","精装修","2022年竣工/普通住宅
            ","有电梯","近地铁","车位充足","","","商品房住宅","普通住宅","70年产权","","首付130万，月供23350元","81924元/㎡","764户","4.9 元/平米/月","30.00%","","","","","","","","全部经纪人","实地核验"
"148","147","666d217fdacf8deaac1412fd","臻选品质 | 老业主委托 | 资深经理 | 别墅专家 |","https://shanghai.anjuke.com/prop/view/S3317044813734919",7,3,1,"288㎡","南北","共3层","1996年建造","虹梅别墅","闵行","虹桥","虹梅路2989弄1-79号","南北;满五年;近地铁;车位充足",4600,"159723元/㎡","南北","满五年","近地铁","车位充足","精装修","1996年竣工/普通住宅
            ","满五年","唯一住房","近地铁","车位充足","","商品房住宅","普通住宅","70年产权","满五年","首付920万，月供165248元","188277元/㎡","68户","5.5 元/平米/月","43.00%","轨道交通   600米到延安西路71路无轨电车，1000米到10号线龙溪路站","小区户型   小区总共有68栋别墅，户型分别为233平，261平，288平，321平，360平等，花园300平左右","小区设施   小区带有室外泳池，健身房，会所车位配比达到1:2.绿化好","生活配套   500米有超市，400米有高尔夫球场，600米有星巴克，配套非常齐全","房屋品质   上海中祥集团有限公司开发建设，于1994年交房主体采用钢筋混凝土的框架结构，外立面有优良的防水防潮","小区不足   小区建造年代比较久，路窄，绿化也比较少","","全部经纪人","实地核验"
"149","148","666d2180dacf8deaac1412fe","吴中路1001弄小区2室1厅1卫","https://shanghai.anjuke.com/prop/view/R3584667569644549",2,1,1,"66.04㎡","南","低层(共6层)","","吴中路1001弄小区","闵行","虹桥","吴中路1001弄","",329,"49819元/㎡","","","","","精装修","暂无建造年代/普通住宅
            ","近地铁","车位充足","","","","暂无","普通住宅","暂无","","首付65万，月供11819元","48502元/㎡","114户","1.5 元/平米/月","35.00%","轨道交通   有公交931、804、548、867、776、149等仅20米和9号线漕河泾站仅300米。","小区户型   小区户型均为一梯三户，一梯四户，双南，南北朝向两房。还有面积小一点的一房是小区的主力小户型。","生活配套   小区西边100米就是莲花广场，900米就是万象城，爱情海购物广场，小区东边300米有苏宁易购","小区不足   小区绿化比较少，车位紧张","","","","","房东直卖"
"150","149","666d2180dacf8deaac1412ff","房东诚心出售，装修全送，16号线800米，满五  ，拎包入住","https://shanghai.anjuke.com/prop/view/S3422003843259401",2,1,1,"70.69㎡","南北","低层(共18层)","2012年建造","鹤沙航城汇贤雅苑","浦东","航头","鹤永路751弄1-20号","南北;热门小区;近地铁;房东急售",185,"26171元/㎡","南北","热门小区","近地铁","房东急售","精装修","2012年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","户型方正","商品房住宅","普通住宅","70年产权","满五年","首付37万，月供6646元","32776元/㎡","1440户","1.2 元/平米/月","30.00%","轨道交通   小区门口就是公交车站，1101路；1109路可直达鹤沙航城地铁站","小区户型   小区总高18层，2梯4户 一房54平，两房72平边套双阳台、72平中间套双南、74平边套三阳台","生活配套   小区门口100米，有鹤波超市，一楼是菜场，和水果店，早餐店，二楼是超市","房屋品质   农工商开发，农工商旺都物业管理，小区外墙全部3层，隔音、保卫、防水好","小区不足   小区有个变电站，位置在7号楼和9号的位置且地下车位停放较少，地面车位不是很充足","","1家门店、5位经纪人正代理本房","全部经纪人","实地核验"
"151","150","666d2181dacf8deaac141300","陆家嘴丨八佰伴对面丨9号线商城路地铁口丨全景落地窗丨精装修","https://shanghai.anjuke.com/prop/view/S3584942410800132",3,2,2,"166㎡","南北","高层(共20层)","2012年建造","良友大厦","浦东","八佰伴","商城路618号","南北;满五年;近地铁",850,"51205元/㎡","南北","满五年","近地铁","","精装修","2012年竣工/公寓
            ","满五年","唯一住房","有电梯","近地铁","","商住两用","公寓","50年产权","满五年","首付425万，月供42026元","57291元/㎡","560户","暂无","30.00%","小区户型   面积是43平到100平，基本都是小户型","生活配套   小区门口步行20米就是八佰伴，新大陆生活广场","小区不足   物业费每个月要26块钱每平米，但是包含全部水电和电费，","","","","","全部经纪人","实地核验"
"152","151","666d2181dacf8deaac141301","一家居住的必看好房~朝南卧室，1房改2房，房子已改好，可拎包","https://shanghai.anjuke.com/prop/view/S3544875033026567",2,1,1,"51.6㎡","南北","中层(共20层)","2017年建造","绿洲康城亲水湾(中区)","浦东","御桥","康桥路1558弄","南北;满五年;车位充足",320,"62016元/㎡","南北","满五年","车位充足","","精装修","2017年竣工/普通住宅
            ","满五年","唯一住房","有电梯","车位充足","","商品房住宅","普通住宅","70年产权","满五年","首付64万，月供11496元","63473元/㎡","4001户","1.77 元/平米/月","43.00%","轨道交通   小区步行1000米左右可到达11号线和16号线罗山站，门口公交车779，1051号等等可直达市区","小区户型   小区有67平一房，89-103平两房，129-134平的三房，主要户型双南两房","其他描述   开发商是:上海振龙房地产开发有限公司rn物业公司:上海中远物业管理有限公司rn物业费:每平每月1.5元","生活配套   小区生活配套齐全，出门往西100米是亲水湾生活广场，出门往东100米是亲水湾永乐街，吃喝玩乐应有竟有","房屋品质   由本地开发商振龙房地产开发有限公司开发，07年毛坯交房，近外环，有隔音板有效隔绝噪音","小区不足   小区业主的车比较，在部分业主都好辆车，所以车位紧张","","全部经纪人","实地核验"
